piloto_id,nombre,caso,tipo,driver_id,passenger_id,activado_piloto,activado_pasajero,calif_gamification,calif_app,activacion_express,vc_n_cancel_piloto,vc_n_finalizados,vc_n_otros_atribuibles,vc_n_no_atribuibles,vn_n_finalizados,vn_n_sin_novedad_a_tiempo,dias_antiguedad,n_finalizados,n_cancel_piloto,n_cancel_pasajero,n_cancel_plataforma,n_otros_atribuibles,n_sin_novedad_a_tiempo,n_alto_valor,n_alto_valor_ok,n_res_cumplidas,n_res_incumplidas_atrib,n_res_cancel_atrib,n_res_no_atrib,n_calificados,suma_calificaciones
P206,Yeison Vargas,,B2C,096a1b3fe9705b05a7cadd30,2f0ed3aed6244351f9358f9f,2022-09-17,2022-06-21,3.58,4.45,0,0,113,0,10,236,233,1459,63,0,5,1,0,60,1,1,,,,,60,294
P207,Esteban Pérez,,B2C,66175d6f6f12a3497ebd7428,59226540350cf7a0d602998b,2026-02-06,2025-07-22,3.82,4.09,0,0,21,0,4,26,24,221,11,0,2,0,0,10,1,1,,,,,9,43
P208,Ximena Morales,,B2C,71834f5dc308611a9a142f75,20c49f688e31fbae3ed224eb,2021-10-12,2021-04-28,4.56,4.76,0,0,92,0,4,162,160,1799,44,0,2,0,0,40,0,0,,,,,42,190
P209,Ramiro Torres,,B2C,50ccd591724ef5a4919e8a10,3e6fa44183dae76c17e465a9,2023-02-09,2023-01-21,2.91,3.93,0,3,33,0,6,72,55,1314,18,2,3,0,0,14,2,1,,,,,17,85
P210,Esteban Díaz,,B2C,7b2272e2753a05ec30840b78,b535d13d0e0aac975d11b4dc,2024-08-15,2024-02-13,3.45,3.91,0,3,33,0,0,68,57,761,17,2,0,0,0,15,5,4,,,,,20,100
P211,Helena Torres,,B2C,5a331188b3f665517a66aa6c,13d9e14238f88f491fc5082e,2026-05-26,2025-12-15,3.31,4.22,0,1,58,0,1,58,56,112,46,1,1,0,0,45,9,8,,,,,28,140
P212,Ximena García,,B2C,c02a7489905281568b60b718,f54e751251f4f9e97323b782,2021-12-02,2021-06-16,4.21,3.96,0,43,355,0,56,745,634,1748,174,19,28,3,0,163,37,34,,,,,222,1083
P213,Sofía González,,B2C,b0e5ee6e95162981d0468b96,9b1198861ade6633378b6d26,2024-03-15,2023-11-08,3.4,4.1,0,0,25,0,4,51,43,914,12,0,2,0,0,11,2,1,,,,,14,70
P214,Juliana Morales,,B2C,9662f4b2dc4d9fd5fc189f7e,fb110fcbcc67fdb721e09cd1,2025-06-12,2025-01-31,3.74,4.22,0,3,39,0,2,67,67,460,18,2,1,0,0,16,1,0,,,,,25,113
P215,Daniela Flores,,B2C,72a9d36c41a22eabf44fff86,259483e7f4eefad3fff6bdb5,2023-04-30,2022-11-06,4.13,3.6,1,0,48,0,6,98,98,1234,26,0,3,0,0,26,0,0,,,,,22,110
P216,Flor Mendoza,,B2C,108a82bda7cb38dbc3ec912d,ba816b6c52e11fa044dab9fb,2025-09-24,2025-09-23,4.58,4.45,0,1,38,0,6,88,70,356,21,1,3,0,0,18,2,1,,,,,23,105
P217,Ignacio Rodríguez,,B2C,432149e78ebc56fa8b6eeb85,f2fffac12099ef612b9c4690,2025-08-12,2025-06-02,3.59,4.76,0,24,118,0,4,251,199,399,64,11,2,1,0,49,18,12,,,,,75,358
P218,Alejandro Ortiz,,B2C,b510d4709db62c6b515543ec,a8216cd85e68107888b2a433,2024-11-04,2024-11-01,4.59,4.75,0,4,47,0,0,103,95,680,25,3,0,0,0,23,7,5,,,,,24,111
P219,Andrés Mendoza,,B2C,947abed02687361a155c443d,83bba2562e00780c585af31f,2025-09-08,2025-08-31,3.91,4.09,0,0,20,0,0,44,36,372,11,0,0,0,0,9,3,2,,,,,10,46
P220,Helena García,,B2C,da964545592847bd79a6eb89,9cfbef9ec6fb72b8557515a1,2022-05-25,2022-03-05,2.77,4.45,0,2,26,0,4,48,42,1574,13,1,2,0,0,11,0,0,,,,,12,56
